id,parent,base_TransformedCentroid_x,slot_Centroid_x,base_TransformedCentroid_y,slot_Centroid_y,base_PsfFlux_instFlux,base_PsfFlux_instFluxErr,base_PsfFlux_area,base_PsfFlux_chi2,base_PsfFlux_npixels,base_PsfFlux_flag,base_PsfFlux_flag_noGoodPixels,base_PsfFlux_flag_edge,base_InvalidPsf_flag,scienceFlux,scienceFluxErr,mjd,date,band,detector,visit,scienceMag,scienceMagErr
1,0,1705.972114587646,1705.972114587646,2583.1756998056294,2583.1756998056294,48078.07088395245,1964.9096369390193,48.859497,910162.56,1681,False,False,False,False,48078.07088395245,1966.8069168893458,57114.31496501439,2015-04-02 07:33:32.977243,i,21,427516,19.695132416430848,0.04441595592697216
1,0,1695.012458587668,1695.012458587668,2593.110704710439,2593.110704710439,11414.86601449817,2338.4334677753172,56.49731,64079.71,1681,False,False,False,False,11414.86601449817,2340.519118912549,57114.31570817074,2015-04-02 07:34:37.185952,g,21,427518,21.256322954522314,0.2226207773358319
1,0,1686.032177007887,1686.032177007887,2597.090781524766,2597.090781524766,42295.01702710555,1786.446042385571,43.102177,926350.6,1681,False,False,False,False,42295.01702710555,1788.0743477374144,57114.32786845756,2015-04-02 07:52:07.834733,i,21,427546,19.834276989665614,0.0459008458347143
1,0,1682.8472789456366,1682.8472789456366,2614.854048786901,2614.854048786901,7219.477096066419,2061.3830469265126,47.575813,68712.52,1681,False,False,False,False,7219.477096066419,2062.256836228844,57114.328605804774,2015-04-02 07:53:11.541532,g,21,427548,21.753735642681473,0.31014253259749003
1,0,1677.6765213936435,1677.6765213936435,2610.2472534913823,2610.2472534913823,31392.894932562755,1837.000863374199,44.137913,927777.8,1681,False,False,False,False,31392.894932562755,1837.8343665406874,57114.34082866157,2015-04-02 08:10:47.596359,i,21,427576,20.157921583697792,0.06356225873365329
1,0,1664.2308296370882,1664.2308296370882,2609.483144909048,2609.483144909048,4774.855911646555,1867.1553605663994,44.77063,77269.305,1681,False,False,False,False,4774.855911646555,1867.556030153817,57114.341573190635,2015-04-02 08:11:51.923671,g,21,427578,22.202599323405284,0.42465641558032763
1,0,1651.5825348650776,1651.5825348650776,2595.639553582974,2595.639553582974,18951.27456266698,334.19182333067613,62.391907,1575650.4,1681,False,False,False,False,18951.27456266698,334.19809653153516,57114.374976590654,2015-04-02 08:59:57.977433,g,21,427628,20.705903940899564,0.019146520819256
1,0,1676.006072908878,1676.006072908878,2612.0102819159742,2612.0102819159742,49438.43929071343,1714.3850430601979,46.567627,935327.2,1681,False,False,False,False,49438.43929071343,1716.4318422251106,57114.404502380145,2015-04-02 09:42:29.005644,i,21,427651,19.664838119582164,0.03769520682368213
1,0,1679.4688285290154,1679.4688285290154,2621.157388171757,2621.157388171757,7825.116144309801,1456.5291585647633,63.017586,84348.164,1681,False,False,False,False,7825.116144309801,1457.599183623479,57114.40526545591,2015-04-02 09:43:34.935391,g,21,427653,21.666273019291317,0.20224213628275686
1,0,1686.8395764105644,1686.8395764105644,2627.2620793531196,2627.2620793531196,39028.82522593015,2164.276432722274,44.834023,845473.8,1681,False,False,False,False,39028.82522593015,2165.6377223512195,57115.2242640951,2015-04-03 05:22:56.417817,i,21,427936,19.92153630214369,0.060245504904013286
